id,name,code,user_type_id/id,chart_template_id/id,tag_ids/id,reconcile
pcg_6581,"Despăgubiri, amenzi și penalități",6581,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_operating_expenses,False
pcg_6582,Donații acordate,6582,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_operating_expenses,False
pcg_6583,Cheltuieli privind activele cedate și alte operațiuni de capital,6583,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_operating_expenses,False
pcg_6584,Cheltuieli cu sumele sau bunurile acordate ca sponsorizări,6584,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_operating_expenses,False
pcg_6586,Cheltuieli reprezentând transferuri și contribuții datorate în baza unor acte normative speciale,6586,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_operating_expenses,False
pcg_6587,Cheltuieli privind calamitățile și alte evenimente similare,6587,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_operating_expenses,False
pcg_65881,Alte cheltuieli de exploatare,65881,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_operating_expenses,False
pcg_65882,Alte cheltuieli de exploatare nedeductibile,65882,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_operating_expenses,False
pcg_663,Pierderi din creanțe legate de participații,663,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_fin_expenses,False
pcg_6641,Cheltuieli privind imobilizările financiare cedate,6641,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_fin_expenses,False
pcg_6642,Pierderi din investițiile pe termen scurt cedate,6642,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_fin_expenses,False
pcg_6651,Diferențe nefavorabile de curs valutar legate de elementele monetare exprimate în valută,6651,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_fin_expenses,False
pcg_6652,Diferențe nefavorabile de curs valutar din evaluarea elementelor monetare care fac parte din investiția netă într-o entitate străină,6652,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_fin_expenses,False
pcg_666,Cheltuieli privind dobânzile,666,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_interest_charges,False
pcg_667,Cheltuieli privind sconturile acordate,667,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_fin_expenses,False
pcg_668,Alte cheltuieli financiare,668,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_fin_expenses,False
pcg_6811,Cheltuieli de exploatare privind amortizarea imobilizărilor,6811,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_value_adjust_assets,False
pcg_6812,Cheltuieli de exploatare privind provizioanele,6812,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_operating_expenses,False
pcg_6813,Cheltuieli de exploatare privind ajustările pentru deprecierea imobilizărilor,6813,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_value_adjust_assets,False
pcg_6814,Cheltuieli de exploatare privind ajustările pentru deprecierea activelor circulante,6814,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_value_adjust_assets,False
pcg_68151,Cheltuieli cu producția vândută,68151,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_net_turnover,False
pcg_68152,Cheltuieli din vânzarea mărfurilor,68152,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_net_turnover,False
pcg_6817,Cheltuieli de exploatare privind ajustările pentru deprecierea fondului comercial,6817,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_value_adjust_assets,False
pcg_6861,Cheltuieli privind actualizarea provizioanelor,6861,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_incomes,False
pcg_6863,Cheltuieli financiare privind ajustările pentru pierderea de valoare a imobilizărilor financiare,6863,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_incomes,False
