id,code,name,account_type,reconcile,chart_template_id:id
l10n_id_21100040,21100040,Salary Deposit,data_account_type_current_liabilities,FALSE,l10n_id.l10n_id_chart
l10n_id_21210010,21210010,Tax Payable Pph 21,data_account_type_current_liabilities,FALSE,l10n_id.l10n_id_chart
l10n_id_21210020,21210020,Tax Payable Pph 23,data_account_type_current_liabilities,FALSE,l10n_id.l10n_id_chart
l10n_id_21210030,21210030,Tax Payable Pph 25,data_account_type_current_liabilities,FALSE,l10n_id.l10n_id_chart
l10n_id_21210040,21210040,Tax Payable 4 (2),data_account_type_current_liabilities,FALSE,l10n_id.l10n_id_chart
l10n_id_21210050,21210050,Tax Payable Pph 29,data_account_type_current_liabilities,FALSE,l10n_id.l10n_id_chart
l10n_id_21221010,21221010,VAT Purchase,data_account_type_current_liabilities,FALSE,l10n_id.l10n_id_chart
l10n_id_21221020,21221020,VAT Sales,data_account_type_current_liabilities,FALSE,l10n_id.l10n_id_chart
l10n_id_22110010,22110010,Bank Loan,data_account_type_current_liabilities,FALSE,l10n_id.l10n_id_chart
l10n_id_22110020,22110020,Leasing Deposit,data_account_type_current_liabilities,FALSE,l10n_id.l10n_id_chart
l10n_id_25110010,25110010,Accrued Payable Electricity,data_account_type_current_liabilities,FALSE,l10n_id.l10n_id_chart
l10n_id_25110020,25110020,Accrued Payable Jamsostek,data_account_type_current_liabilities,FALSE,l10n_id.l10n_id_chart
l10n_id_25110030,25110030,Accrued Payable Water,data_account_type_current_liabilities,FALSE,l10n_id.l10n_id_chart
l10n_id_25110040,25110040,Accrued Payable Telp & Internet,data_account_type_current_liabilities,FALSE,l10n_id.l10n_id_chart
l10n_id_25110050,25110050,Accrued Payable Security Management,data_account_type_current_liabilities,FALSE,l10n_id.l10n_id_chart
l10n_id_25110060,25110060,Accrued Payable Bank,data_account_type_current_liabilities,FALSE,l10n_id.l10n_id_chart
l10n_id_25110070,25110070,Accrued Payable PBB,data_account_type_current_liabilities,FALSE,l10n_id.l10n_id_chart
l10n_id_25110080,25110080,Accrued Payable Business License,data_account_type_current_liabilities,FALSE,l10n_id.l10n_id_chart
l10n_id_25110090,25110090,Accrued Payable Insurance,data_account_type_current_liabilities,FALSE,l10n_id.l10n_id_chart
