id,name,chart_template_id/id,code,account_type,reconcile
egy_account_400031,Legal fees,l10n_eg.egypt_chart_template_standard,400031,data_account_type_expenses,False
egy_account_400032,Trade License Fees,l10n_eg.egypt_chart_template_standard,400032,data_account_type_expenses,False
egy_account_400033,Others - Professional Fees,l10n_eg.egypt_chart_template_standard,400033,data_account_type_expenses,False
egy_account_400034,Other - Advertising Expenses,l10n_eg.egypt_chart_template_standard,400034,data_account_type_expenses,False
egy_account_400035,Write Off Receivables & Payables,l10n_eg.egypt_chart_template_standard,400035,data_account_type_expenses,False
egy_account_400036,Write Off Inventory,l10n_eg.egypt_chart_template_standard,400036,data_account_type_expenses,False
egy_account_400037,Amortisation of Preoperating Expenses,l10n_eg.egypt_chart_template_standard,400037,data_account_type_expenses,False
egy_account_400038,Cash Shortage,l10n_eg.egypt_chart_template_standard,400038,data_account_type_expenses,False
egy_account_400039,Others - Provision & Write off,l10n_eg.egypt_chart_template_standard,400039,data_account_type_expenses,False
egy_account_400040,Insurance,l10n_eg.egypt_chart_template_standard,400040,data_account_type_expenses,False
egy_account_400041,Training,l10n_eg.egypt_chart_template_standard,400041,data_account_type_expenses,False
egy_account_400042,Maintenance,l10n_eg.egypt_chart_template_standard,400042,data_account_type_expenses,False
egy_account_400043,Security & Guard,l10n_eg.egypt_chart_template_standard,400043,data_account_type_expenses,False
egy_account_400044,Cleaning,l10n_eg.egypt_chart_template_standard,400044,data_account_type_expenses,False
egy_account_400045,Subscriptions,l10n_eg.egypt_chart_template_standard,400045,data_account_type_expenses,False
egy_account_400046,Gifts & Donations,l10n_eg.egypt_chart_template_standard,400046,data_account_type_expenses,False
egy_account_400047,Kitchen and Buffet Expenses,l10n_eg.egypt_chart_template_standard,400047,data_account_type_expenses,False
egy_account_400048,Vehicle Expenses,l10n_eg.egypt_chart_template_standard,400048,data_account_type_expenses,False
egy_account_400049,Convoyance Expenses,l10n_eg.egypt_chart_template_standard,400049,data_account_type_expenses,False
egy_account_400050,Others - Office Various Expenses,l10n_eg.egypt_chart_template_standard,400050,data_account_type_expenses,False
egy_account_400051,Other Bank Charges,l10n_eg.egypt_chart_template_standard,400051,data_account_type_expenses,False
egy_account_400052,Loss On Fixed Assets Disposal,l10n_eg.egypt_chart_template_standard,400052,data_account_type_expenses,False
egy_account_400053,Loss on Difference on Exchange,l10n_eg.egypt_chart_template_standard,400053,data_account_type_expenses,False
egy_account_400054,Disposal of Business Branch,l10n_eg.egypt_chart_template_standard,400054,data_account_type_expenses,False
egy_account_400055,Income Tax,l10n_eg.egypt_chart_template_standard,400055,data_account_type_expenses,False
egy_account_400056,Previous Year Adjustments Account,l10n_eg.egypt_chart_template_standard,400056,data_account_type_expenses,False
egy_account_400057,Other Non Operating Expenses,l10n_eg.egypt_chart_template_standard,400057,data_account_type_expenses,False
egy_account_400058,Credit Card Charges,l10n_eg.egypt_chart_template_standard,400058,data_account_type_expenses,False
egy_account_400059,Bank Finance & Loan Charges,l10n_eg.egypt_chart_template_standard,400059,data_account_type_expenses,False
egy_account_400060,Air Miles Card Charges,l10n_eg.egypt_chart_template_standard,400060,data_account_type_expenses,False
egy_account_400061,Credit Card Swipe Charges,l10n_eg.egypt_chart_template_standard,400061,data_account_type_expenses,False
egy_account_400062,PayPal Charges,l10n_eg.egypt_chart_template_standard,400062,data_account_type_expenses,False
egy_account_400063,Amortization on Leasehold Improvement,l10n_eg.egypt_chart_template_standard,400063,data_account_type_expenses,False
egy_account_400064,Depreciation Of Furniture & Office Equipment,l10n_eg.egypt_chart_template_standard,400064,data_account_type_expenses,False
egy_account_400065,Depreciation Of Computer Hard & Soft,l10n_eg.egypt_chart_template_standard,400065,data_account_type_expenses,False
egy_account_400066,Depreciation Of Motor Vehicles,l10n_eg.egypt_chart_template_standard,400066,data_account_type_expenses,False
egy_account_400067,Consultancy Fees,l10n_eg.egypt_chart_template_standard,400067,data_account_type_expenses,False
egy_account_400068,Provision for Doubtful Debts,l10n_eg.egypt_chart_template_standard,400068,data_account_type_expenses,False
egy_account_400069,Closing Account,l10n_eg.egypt_chart_template_standard,400069,data_account_type_expenses,False
egy_account_400070,Depreciation on right of use asset (IFRS 16),l10n_eg.egypt_chart_template_standard,400070,data_account_type_expenses,False
egy_account_400072,Interest Expense,l10n_eg.egypt_chart_template_standard,400072,data_account_type_expenses,False
