id,Name,code,user_type_id/id,reconcile
ee_coa_,Tax – income tax and fringe benefit income tax (20%),,,FALSE
ee_coa_,Tax – input value added tax,,,FALSE
ee_coa_,Tax – prepayment account for taxes,,,FALSE
ee_coa_,Tax – vat on car costs,,,FALSE
ee_coa_,Tax – vat on sales,,,FALSE
ee_coa_,Tax – vat paid on an import at customs,,,FALSE
ee_coa_,Tax – vat paid upon the acquisition of fixed assets,,,FALSE
ee_coa_,Tax – tax interest debt,,,FALSE
ee_coa_,Tax – withholding income tax from dividends paid to resident and non-resident natural persons,,,FALSE
ee_coa_,Tax – on transaction between associated persons ,,,FALSE
ee_coa_,Tax – profit tax on controlled foreign companies (cfc),,,FALSE
ee_coa_,Tax – withholding tax on payments to non residents,,,FALSE
ee_coa_202148,Tax – social security costs,202148,data_account_type_expenses,FALSE
