id,chart_template_id:id,code,name,account_type,reconcile
nz_61610,l10n_nz.l10n_nz_chart_template,61610,Discounts Given,data_account_type_expenses,FALSE
nz_61620,l10n_nz.l10n_nz_chart_template,61620,Discounts Taken,data_account_type_expenses,FALSE
nz_61630,l10n_nz.l10n_nz_chart_template,61630,Exchange Rate Losses (Gains),data_account_type_expenses,FALSE
nz_61700,l10n_nz.l10n_nz_chart_template,61700,Freight Paid,data_account_type_expenses,FALSE
nz_61800,l10n_nz.l10n_nz_chart_template,61800,Insurance,data_account_type_expenses,FALSE
nz_61910,l10n_nz.l10n_nz_chart_template,61910,Overdraft Interest,data_account_type_expenses,FALSE
nz_61920,l10n_nz.l10n_nz_chart_template,61920,Mortgage Interest,data_account_type_expenses,FALSE
nz_61930,l10n_nz.l10n_nz_chart_template,61930,Other Interest,data_account_type_expenses,FALSE
nz_62000,l10n_nz.l10n_nz_chart_template,62000,Late Fees Paid,data_account_type_expenses,FALSE
nz_62110,l10n_nz.l10n_nz_chart_template,62110,Machinery & Equipment,data_account_type_expenses,FALSE
nz_62120,l10n_nz.l10n_nz_chart_template,62120,Other Business Property,data_account_type_expenses,FALSE
nz_62200,l10n_nz.l10n_nz_chart_template,62200,Legal & Professional Services,data_account_type_expenses,FALSE
nz_62300,l10n_nz.l10n_nz_chart_template,62300,Office Expenses,data_account_type_expenses,FALSE
nz_62410,l10n_nz.l10n_nz_chart_template,62410,Staff Amenities,data_account_type_expenses,FALSE
nz_62420,l10n_nz.l10n_nz_chart_template,62420,Superannuation,data_account_type_expenses,FALSE
nz_62430,l10n_nz.l10n_nz_chart_template,62430,Wages & Salaries,data_account_type_expenses,FALSE
nz_62440,l10n_nz.l10n_nz_chart_template,62440,Workers' Compensation,data_account_type_expenses,FALSE
nz_62450,l10n_nz.l10n_nz_chart_template,62450,Other Employer Expenses,data_account_type_expenses,FALSE
nz_62500,l10n_nz.l10n_nz_chart_template,62500,Repairs,data_account_type_expenses,FALSE
nz_62550,l10n_nz.l10n_nz_chart_template,62550,Shrinkage/Spoilage,data_account_type_expenses,FALSE
nz_62600,l10n_nz.l10n_nz_chart_template,62600,Supplies,data_account_type_expenses,FALSE
nz_62700,l10n_nz.l10n_nz_chart_template,62700,Taxes,data_account_type_expenses,FALSE
nz_62800,l10n_nz.l10n_nz_chart_template,62800,Telephone,data_account_type_expenses,FALSE
nz_62910,l10n_nz.l10n_nz_chart_template,62910,Gas,data_account_type_expenses,FALSE
nz_62920,l10n_nz.l10n_nz_chart_template,62920,Electricity,data_account_type_expenses,FALSE
nz_62930,l10n_nz.l10n_nz_chart_template,62930,Water,data_account_type_expenses,FALSE
nz_63110,l10n_nz.l10n_nz_chart_template,63110,Travel,data_account_type_expenses,FALSE
nz_63120,l10n_nz.l10n_nz_chart_template,63120,Meals & Entertainment,data_account_type_expenses,FALSE
nz_81000,l10n_nz.l10n_nz_chart_template,81000,Interest Income,data_account_type_other_income,FALSE
nz_91000,l10n_nz.l10n_nz_chart_template,91000,Interest Expense,data_account_type_expenses,FALSE
nz_92000,l10n_nz.l10n_nz_chart_template,92000,Income Tax Expense,data_account_type_expenses,FALSE
